Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12993473,"enock katui","2025-04-04 14:41:19",1.00000,3,enockkatui
2,13611410,"Blake Pearsall","2025-04-04 18:33:05",1.00000,3,blakepearsall
3,13611679,"Amanda Bruno","2025-04-04 19:38:00",1.00000,3,amandabruno
4,12172048,"Khalil Alaei","2025-04-05 02:02:37",1.00000,1,khalilalaei
5,13613224,"Adam Kahook","2025-04-05 02:25:45",1.00000,3,adamkahook
6,12801551,Veniamin_Nelin,"2025-05-21 08:14:09",1.00000,46,veniaminnelin
7,12689008,"hato bai","2025-06-03 00:29:51",1.00000,21,hatobai
8,13622138,"Andrew Lehman","2025-04-06 15:27:07",1.00000,3,andrewlehman21
9,13623121,"Nur Islam Kubanych","2025-04-06 20:07:49",1.00000,2,nurislamkubanych
10,13623445,mb3313,"2025-04-06 21:41:16",1.00000,3,mb3313
11,13623768,"Lucas Andrasak","2025-04-07 00:36:32",1.00000,3,lucasandrasak
12,13592682,"Marwan Yasser Hassan","2025-04-07 02:25:40",1.00000,13,marwanyasserhassan
13,13624087,"WOW Zone","2025-04-07 02:29:49",1.00000,1,wowzone
14,13628810,jobayer267777,"2025-04-07 16:56:01",1.00000,1,jobayer267777
15,13629024,"Dongmin Sun","2025-04-07 17:37:58",1.00000,3,dongmiin
16,13629619,"Nicole Baselj","2025-04-07 20:04:25",1.00000,3,nicolebaselj
17,13248513,"Jayaraju Gorle","2025-05-31 03:14:07",1.00000,11,gorlej
18,13635110,"Hannah Eyre","2025-04-08 16:26:20",1.00000,3,hannaheyre
19,13635547,"Allison Wellss","2025-04-08 17:59:09",1.00000,3,allisonwellss
20,4211481,Somesh007,"2025-04-08 23:11:54",1.00000,1,somesh007
21,12932725,"Muhammad Firdaus #2","2025-04-09 04:14:31",1.00000,2,ldausl
22,13641971,"Ava Butina","2025-04-09 15:56:52",1.00000,3,avabutina
23,13643309,"Tess Myers","2025-04-09 18:39:23",1.00000,3,tessmyers
24,13643874,"Goli Shalini","2025-04-09 19:49:16",1.00000,3,golishalini
25,13646214,"Will B #2","2025-04-10 04:44:07",1.00000,3,willb5
26,13296257,"Amr El3RAB","2025-05-07 12:54:08",1.00000,3,el3rab
27,13649527,"sucheta chaudhari","2025-04-10 12:22:28",1.00000,2,suchetachaudhari
28,13652267,yidan_zhang77,"2025-04-10 17:00:15",1.00000,3,yidanzhang77
29,13569717,"Mathys GRAULUS","2025-04-22 06:53:22",1.00000,19,mathysgraulus
30,13653235,"Yasmine Elmakdah","2025-04-10 21:28:33",1.00000,4,yasmineelmakdah
31,13653689,"Kaden Kroslak","2025-04-11 00:59:29",1.00000,3,kadenkroslak
32,13531281,"HYUN JI PARK","2025-04-11 03:51:08",1.00000,2,hj020723
33,13654917,"A. Naman","2025-04-11 07:04:39",1.00000,1,namani3c
34,13657320,"Abraham GuevaraD","2025-04-11 16:10:14",1.00000,3,abrahamguevarad
35,13657766,"Santhosh Jaya Chandra","2025-04-11 18:04:59",1.00000,4,santhoshjayachandra
36,9005805,"Mehdi Sharifi","2025-05-29 22:13:12",1.00000,65,sharifi76
37,6497188,"mos3 santos","2025-05-31 16:58:57",1.00000,58,mos3santos
38,13658962,"Halle Sebest","2025-04-12 01:54:26",1.00000,4,hallesebest
39,13659997,svadhana,"2025-04-12 07:40:35",1.00000,3,svadhana
40,13661712,"Jacky Lin 925","2025-04-12 14:47:54",1.00000,3,jackylin925
41,13662545,"Rahul Arora #4","2025-04-12 18:09:56",1.00000,3,rahultrine
42,13662677,"Aubrey Jarvis","2025-04-12 19:00:03",1.00000,3,aubreyjarvis
43,13663021,"Char Yu","2025-04-12 21:20:03",1.00000,3,charyu
44,13663162,"Hsien-Yi Liu","2025-04-12 22:24:34",1.00000,3,shaneliu
45,13663250,"aidan bankes","2025-04-12 23:12:52",1.00000,3,aidanbankes
46,13663251,"Aeri Liu","2025-04-12 23:13:49",1.00000,3,aeriliu
47,13663387,"Sua (Joshua) Lee","2025-04-13 00:44:34",1.00000,4,suajoshualee
48,5779693,ggoldenn,"2025-04-13 01:51:19",1.00000,3,ggoldenn
49,13663744,"Kenna Domka","2025-04-13 03:55:58",1.00000,3,kennadomka
50,13663810,"Mengzhen Chen","2025-04-13 04:24:12",1.00000,3,mengzhenchen
51,13664468,"Moksha Shah","2025-04-13 08:08:55",1.00000,3,moxashah
52,13664821,"Abdallah Ndume","2025-04-13 09:23:39",1.00000,3,abdallahndume
53,13665593,HaileyS97,"2025-04-13 13:10:00",1.00000,3,haileys97
54,13665624,"Logan Steele 15","2025-04-13 13:19:30",1.00000,3,logansteele15
55,13666333,"Matthew Banaga","2025-04-13 16:22:19",1.00000,3,matthewbanaga
56,13666351,RyneA7,"2025-04-13 16:24:35",1.00000,3,rynea7
57,13666393,"Gary Wang49","2025-04-13 16:36:57",1.00000,3,garywang49
58,13666523,"Addison Towne","2025-04-13 17:15:53",1.00000,3,addisontowne
59,13666613,"Devin Allman","2025-04-13 17:43:24",1.00000,3,devinallman
60,13667166,"Rick Gattuso","2025-04-13 20:50:48",1.00000,3,rickgattuso
61,13667172,"Koi Preston","2025-04-13 21:27:23",1.00000,6,koipreston
62,13667344,"Aaron Jury","2025-04-13 22:15:59",1.00000,3,aaronjury
63,13667393,"Grace Nuhfer","2025-04-13 22:43:26",1.00000,3,gracenuhfer
64,13667598,"Healy Buettner","2025-04-14 00:43:15",1.00000,3,healybuettner
65,13667626,"Justin Peabody","2025-04-14 00:58:57",1.00000,3,jpeabody
66,13667682,"Kellen Fletcher4","2025-04-14 01:24:34",1.00000,5,kellenfletcher4
67,13667710,"ALISSA J KEEFE","2025-04-14 01:30:40",1.00000,3,alissajkeefe
68,13667870,"marko kulina","2025-04-14 02:16:00",1.00000,3,markokulina10
69,13667951,"Beau Balizet","2025-04-14 02:46:44",1.00000,3,beaubalizet
70,13667961,"Wenhao Fan","2025-04-14 02:49:49",1.00000,3,wenhaofanxzy
71,13668071,"Colby Macko","2025-04-14 03:11:52",1.00000,3,colbymacko
72,13668077,lrt342003,"2025-04-14 03:12:32",1.00000,3,lrt342003
73,13668306,"Claire KeKe","2025-04-14 04:20:49",1.00000,3,clairekeke
74,13668492,"WEI LU（Vivia）","2025-04-14 05:08:49",1.00000,3,weiluvivia
75,13669636,"Menglai Li","2025-04-14 09:01:15",1.00000,4,menglaili
76,13669718,"Sagunala Shashikanth","2025-04-14 09:11:29",1.00000,3,sagunalashashikanth
77,13390905,"Marlen Oryntay","2025-04-14 16:59:09",1.00000,8,marlen01
78,13671961,"Chenjie He","2025-04-14 16:50:15",1.00000,3,chenjiehe
79,13672063,"Sivanand Sista","2025-04-14 17:11:42",1.00000,3,sivanandsista
80,13672148,"Ashok Kumar Bhatraju","2025-04-14 17:27:48",1.00000,3,ashokkumarbhatraju
81,13672626,"ruzhen xu","2025-04-14 19:13:59",1.00000,3,ruzhenxu
82,13672846,"Ramses Minaya","2025-04-14 20:19:02",1.00000,3,ramsesminaya
83,13672906,"Yaswanth Kaushal","2025-04-14 20:40:24",1.00000,4,yaswanthkaushal
84,13673048,"Surekha N","2025-04-14 21:31:19",1.00000,3,surekhan
85,13673110,"Mingyu(Jacky) Z","2025-04-14 21:58:27",1.00000,3,jackyz110
86,13673134,norianuru,"2025-04-14 22:09:15",1.00000,3,norianuru
87,13673201,"phoebe #5","2025-04-14 22:46:58",1.00000,3,phoebe120015
88,13673204,"shaoyun gao","2025-04-14 22:48:39",1.00000,3,shaoyungao
89,13673402,"Peijin Wang","2025-04-15 00:32:37",1.00000,3,peijinwang6688
90,13673619,YiiiiRen,"2025-04-15 01:52:56",1.00000,4,yiiiiren
91,13673667,"Derek Wang #2","2025-04-15 02:09:11",1.00000,3,derekwang322
92,13673759,"Kelvin Fu","2025-04-15 02:36:13",1.00000,3,kelvinfu
93,13674067,HaoranSun1125,"2025-04-15 03:56:28",1.00000,3,haoransun1125
94,13674103,"Jiachen Li","2025-04-15 04:10:40",1.00000,3,jiachenli1010
95,13674106,"Yingxi Long","2025-04-15 04:10:56",1.00000,3,yingxilong
96,13674121,"Jiashuo Ge","2025-04-15 04:16:36",1.00000,3,jiashuoge
97,13674137,"Ayesha Fatima2400","2025-04-15 04:18:39",1.00000,3,ayeshafatima2400
98,13674134,"Aditi Parikh","2025-04-15 04:21:42",1.00000,3,aparikh4
99,13675314,nayan.ucentric,"2025-04-15 08:59:48",1.00000,3,nayanucentric
100,13675330,"Sai Kiran Banothu","2025-04-15 09:03:08",1.00000,3,saikiranbanothu
101,13676541,"Natasha Wee","2025-04-15 13:27:43",1.00000,3,natashawee
102,13676959,"Jiaze Lin Trine","2025-04-15 14:53:09",1.00000,3,jiazelintrine
103,13677240,JuliannH,"2025-04-15 15:53:17",1.00000,3,juliannh
104,13677423,"Rashmi Khondker","2025-04-15 16:30:29",1.00000,3,rashmikhondker
105,13677474,"Haoyang Su","2025-04-15 16:41:35",1.00000,3,hsu241trine
106,13677580,"Reilly Johnson","2025-04-15 17:05:32",1.00000,3,rkat21
107,13677579,"Yosthena Abraha","2025-04-15 17:06:46",1.00000,3,yosthenaabraha
108,13677816,"yogisha gurung","2025-04-15 18:14:16",1.00000,3,yogishagurung
109,13677838,"Ebtihal Jasim","2025-04-15 18:19:20",1.00000,3,ebtihalj
110,13677890,"Peiwen #2","2025-04-15 18:34:02",1.00000,3,xxiixiong
111,13677915,"Davida Wu","2025-04-15 18:43:05",1.00000,4,davidawu
112,13678081,"Siyao Gao","2025-04-15 19:39:52",1.00000,3,siyaogao
113,13678169,LCheng24,"2025-04-15 20:09:53",1.00000,3,lcheng24
114,13678223,"Ammar Albodrees","2025-04-15 20:27:57",1.00000,3,ammaralbodrees
115,13678277,DeadliftOverflow,"2025-04-15 20:49:55",1.00000,3,deadliftoverflow
116,13678371,"Zeyu Yan ","2025-04-15 21:19:31",1.00000,3,zeyuyan98
117,13678461,"Disha Goel","2025-04-15 21:52:27",1.00000,3,dishagoel24
118,13678549,Xinyang823r4,"2025-04-15 22:30:46",1.00000,3,xinyang823r4
119,13678647,"Chengyingzi Chang123","2025-04-15 23:15:16",1.00000,4,chengyingzichang123
120,13668754,"Yuqing Bai","2025-04-16 01:42:44",1.00000,4,mirroreye27
121,13679094,yjiang970828,"2025-04-16 02:11:12",1.00000,4,yjiang970828
122,13679164,"Srividhyalakshmi Ravichandran","2025-04-16 02:34:44",1.00000,3,srividhyalakshmi27
123,13679186,"Chenming Cui","2025-04-16 02:39:59",1.00000,3,cuichenming
124,13679205,"Lei Shi #2","2025-04-16 02:43:43",1.00000,3,leishi526
125,13679243,tanlionJny,"2025-04-16 02:56:36",1.00000,3,tanlionjny
126,13679162,"Penny Xia","2025-04-16 02:58:03",1.00000,7,pennyxia
127,13679270,"Adhvik Yeleswarapu","2025-04-16 03:06:06",1.00000,3,adhvikyeleswarapu
128,13679288,"Andressa Angelini","2025-04-16 03:10:43",1.00000,3,andressaangelini
129,13679339,AidiZhangTrine,"2025-04-16 03:27:31",1.00000,3,aidizhangtrine
130,13679340,"Yuchen Liu #3","2025-04-16 03:27:37",1.00000,3,yuchenliu5566
131,13679347,"Dikun Mo","2025-04-16 03:29:42",1.00000,3,clorismo
132,13679372,"Ruizhe Li #2","2025-04-16 03:33:53",1.00000,3,ruizheli2025
133,13679481,"conghao liu","2025-04-16 04:15:46",1.00000,3,conghaoliu
134,13679518,"Jing Xu Trine","2025-04-16 04:24:52",1.00000,3,jingxutrine
135,13679602,"Fan Gao","2025-04-16 04:56:18",1.00000,3,gaofans
136,13679615,JessicaSun01,"2025-04-16 04:57:16",1.00000,3,jessicasun01
137,13679677,"junjie wu #2","2025-04-16 05:20:23",1.00000,3,junjiewu2025
138,13679671,"JIABAO TAI ","2025-04-16 05:21:25",1.00000,3,jiabaotai
139,13679752,"Shreya Atmakuri","2025-04-16 05:50:12",1.00000,4,shreyaatmakuri08
140,13679857,"Xiaoyu Shen #2","2025-04-16 06:13:55",1.00000,3,xiaoyushentrine
141,13680434,"Om Siva Sai Akhesh","2025-04-16 08:29:41",1.00000,3,omsivasaiakhesh
142,13680455,"Mohammad Abdul Amaan Siddiqui ","2025-04-16 08:34:08",1.00000,3,abdulamaan17
143,13680467," Haris Zuber","2025-04-16 08:37:55",1.00000,3,hariszuber
144,13680480," Mohd Obaidullah","2025-04-16 08:41:05",1.00000,3,mohdobaidullah
145,13680492,"Keerthana Sargunam","2025-04-16 08:44:46",1.00000,3,keerthanasargunam
146,13680495,"Muhammad Asif #5","2025-04-16 08:45:06",1.00000,3,asifleo
147,13680522,"Namita Korimilli","2025-04-16 08:49:40",1.00000,3,namitakorimilli
148,13680544,"Neeraj kumar118","2025-04-16 08:54:15",1.00000,3,neerajkumar118
149,13680583,"Sai Chaitanya Adama","2025-04-16 09:02:09",1.00000,3,saichaitanyaadama
150,13680602,"Shias Sulaiman","2025-04-16 09:07:20",1.00000,3,shiassulaiman
151,13680626,"Adnaan mohd","2025-04-16 09:11:46",1.00000,3,adnaanmohd
152,13680649,"Srinath kaparaveni","2025-04-16 09:16:48",1.00000,3,srinathkaparaveni
153,13681948,"Mohammed haroon","2025-04-16 13:59:01",1.00000,3,fnumohammedharoon
154,13681949,"Yarden Sheinson Manit","2025-04-16 13:59:49",1.00000,3,yardensheinson
155,13682023,"Rotem Manit","2025-04-16 14:07:57",1.00000,3,rotemmaanit
156,13682369,"Susan Pandit","2025-04-16 15:15:25",1.00000,3,susanpandit
